code	name	memory	valid	pchfix	mode	code
00	BRK	-	T	F	IMPLIED	PUSH16(PC + 1), P((P & 0xcf) | 0x30), PUSH(P), I(1), VEC(0xfffe)
01	ORA	R	T	F	PRE_INDIRECT_X	T(A | T), N, Z, A
02	STP	-	F	F	IMPLIED	NOTIMPL
03	SLO	RMW	F	F	PRE_INDIRECT_X	T(R), C(T & 0x80), W, T(T << 1), W, T(A | T), N, Z, A
04	NOP	R	F	F	ZERO_PAGE
05	ORA	R	T	F	ZERO_PAGE	@01
06	ASL	RMW	T	F	ZERO_PAGE	T(R), C(T & 0x80), W, T(T << 1), N, Z, W
07	SLO	RMW	F	F	ZERO_PAGE	@03
08	PHP	-	T	F	IMPLIED	PUSH((P & 0xcf) | 0x30)
09	ORA	-	T	F	IMMEDIATE	@01
0A	ASL	-	T	F	ACCUMULATOR	T(A << 1), C(A & 0x80), N, Z, A
0B	ANC	-	F	F	IMMEDIATE	T(A & T), N, Z, A, C(N)
0C	NOP	R	F	F	ABSOLUTE
0D	ORA	R	T	F	ABSOLUTE	@01
0E	ASL	RMW	T	F	ABSOLUTE	@06
0F	SLO	RMW	F	F	ABSOLUTE	@03
10	BPL	W	T	F	RELATIVE	B(!N)
11	ORA	R	T	T	POST_INDIRECT_Y	@01
12	STP	-	F	F	IMPLIED	@02
13	SLO	RMW	F	T	POST_INDIRECT_Y	@03
14	NOP	R	F	F	ZERO_PAGE_X
15	ORA	R	T	F	ZERO_PAGE_X	@01
16	ASL	RMW	T	F	ZERO_PAGE_X	@06
17	SLO	RMW	F	F	ZERO_PAGE_X	@03
18	CLC	-	T	F	IMPLIED	C(0)
19	ORA	R	T	T	ABSOLUTE_Y	@01
1A	NOP	-	F	F	IMPLIED
1B	SLO	RMW	F	T	ABSOLUTE_Y	@03
1C	NOP	R	F	T	ABSOLUTE_X
1D	ORA	R	T	T	ABSOLUTE_X	@01
1E	ASL	RMW	T	T	ABSOLUTE_X	@06
1F	SLO	RMW	F	T	ABSOLUTE_X	@03
20	JSR	W	T	F	ABSOLUTE	PUSH16(PC - 1), G(1), PC(M)
21	AND	R	T	F	PRE_INDIRECT_X	T(A & T), N, Z, A
22	STP	-	F	F	IMPLIED	@02
23	RLA	RMW	F	F	PRE_INDIRECT_X	T(R), W, T((T << 1) | C), C(T & 0x100), W, T(A & T), N, Z, A
24	BIT	R	T	F	ZERO_PAGE	N, Z(T & A), V(T & 0x40)
25	AND	R	T	F	ZERO_PAGE	@21
26	ROL	RMW	T	F	ZERO_PAGE	T(R), W, T((T << 1) | C), C(T & 0x100), N, Z, W
27	RLA	RMW	F	F	ZERO_PAGE	@23
28	PLP	-	T	F	IMPLIED	R(PC), P((P & 0x30) | (PULL & ~0x30)), IRQ_DELAY(1)
29	AND	-	T	F	IMMEDIATE	@21
2A	ROL	-	T	F	ACCUMULATOR	T((A << 1) | C), C(T & 0x100), N, Z, A
2B	ANC	-	F	F	IMMEDIATE	@0B
2C	BIT	R	T	F	ABSOLUTE	@24
2D	AND	R	T	F	ABSOLUTE	@21
2E	ROL	RMW	T	F	ABSOLUTE	@26
2F	RLA	RMW	F	F	ABSOLUTE	@23
30	BMI	W	T	F	RELATIVE	B(N)
31	AND	R	T	T	POST_INDIRECT_Y	@21
32	STP	-	F	F	IMPLIED	@02
33	RLA	RMW	F	T	POST_INDIRECT_Y	@23
34	NOP	R	F	F	ZERO_PAGE_X
35	AND	R	T	F	ZERO_PAGE_X	@21
36	ROL	RMW	T	F	ZERO_PAGE_X	@26
37	RLA	RMW	F	F	ZERO_PAGE_X	@23
38	SEC	-	T	F	IMPLIED	C(1)
39	AND	R	T	T	ABSOLUTE_Y	@21
3A	NOP	-	F	F	IMPLIED
3B	RLA	RMW	F	T	ABSOLUTE_Y	@23
3C	NOP	R	F	T	ABSOLUTE_X
